!CSV A.01.01
!Keysight Technologies,N5247B,MY58422921,A.14.80.08
!Date: Wednesday, April 12, 2023 00:56:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
40000000000,-7.2207723,80.758743
40060000000,-7.2113543,-47.886456
40120000000,-7.3920951,-175.78879
40180000000,-7.6323862,57.924217
40240000000,-7.4714327,-68.182877
40300000000,-7.5561743,165.83778
40360000000,-7.1331544,38.591305
40420000000,-7.0051394,-89.276802
40480000000,-6.9543066,140.60385
40540000000,-7.3439674,12.545466
40600000000,-7.4569435,-114.13228
40660000000,-7.6173658,119.56085
40720000000,-7.5212288,-6.4231992
40780000000,-7.2598667,-133.19193
40840000000,-7.1993952,97.058037
40900000000,-7.3423543,-30.445234
40960000000,-7.2915292,-159.47935
41020000000,-7.9631085,73.669464
41080000000,-7.6998272,-51.029701
41140000000,-7.3815265,-177.24637
41200000000,-7.2838988,53.0205
41260000000,-7.3991323,-75.195366
41320000000,-7.6408234,156.68553
41380000000,-7.9270554,29.954096
41440000000,-8.0595331,-95.181267
41500000000,-7.8510199,139.99994
41560000000,-7.5116758,11.404554
41620000000,-7.6024904,-114.52907
41680000000,-7.1859961,116.2007
41740000000,-7.5445452,-12.118852
41800000000,-7.6377873,-139.36894
41860000000,-7.7090845,95.267174
41920000000,-7.432323,-31.470005
41980000000,-7.2585893,-160.04068
42040000000,-7.3895106,72.084671
42100000000,-7.4038296,-56.409191
42160000000,-7.5182958,176.62473
42220000000,-7.6584444,49.642971
42280000000,-7.6599002,-77.552238
42340000000,-7.5450931,156.84924
42400000000,-7.3866777,28.26269
42460000000,-7.3066688,-99.434044
42520000000,-7.4864931,131.35539
42580000000,-7.818203,4.6902041
42640000000,-7.7985854,-121.27394
42700000000,-7.6561589,111.76591
42760000000,-7.5130672,-15.694726
42820000000,-7.4552746,-144.54417
42880000000,-7.6745439,88.38253
42940000000,-7.6921582,-38.560555
43000000000,-7.802752,-165.86494
43060000000,-7.7350531,68.040443
43120000000,-7.6698294,-59.018654
43180000000,-7.5623736,173.37146
43240000000,-7.5138965,44.8447
43300000000,-7.7147493,-82.882034
43360000000,-7.6521378,149.77469
43420000000,-7.8251562,21.67635
43480000000,-7.8629208,-102.38916
43540000000,-7.4867907,129.93802
43600000000,-7.5058475,0.90830171
43660000000,-7.6335406,-125.62509
43720000000,-7.7137318,105.76562
43780000000,-7.8996682,-19.853857
43840000000,-7.7892823,-147.59604
43900000000,-7.8509359,86.246552
43960000000,-7.5265603,-41.88596
44020000000,-7.7391982,-170.76671
44080000000,-7.7728267,62.55151
44140000000,-7.8723984,-64.693024
44200000000,-7.9274969,169.41203
44260000000,-7.6644139,42.723572
44320000000,-7.5362854,-85.260109
44380000000,-7.5057845,145.98166
44440000000,-7.7726426,15.898816
44500000000,-8.1008062,-108.65395
44560000000,-8.211812,123.59625
44620000000,-8.2040033,0.1247
44680000000,-7.6614957,-128.10239
44740000000,-7.4479365,102.69495
44800000000,-7.5492916,-27.305357
44860000000,-7.9694552,-155.67332
44920000000,-8.3765907,78.368355
44980000000,-8.4101639,-45.41674
45040000000,-8.2533493,-172.33434
45100000000,-7.8891482,61.477024
45160000000,-7.8200407,-67.666847
45220000000,-7.8453012,162.93742
45280000000,-8.1130428,35.473503
45340000000,-8.349966,-90.301277
45400000000,-8.1441584,144.29877
45460000000,-7.9185681,16.698296
45520000000,-7.7070627,-111.46518
45580000000,-7.7457223,119.51878
45640000000,-7.9365993,-9.4474421
45700000000,-8.2753735,-135.95488
45760000000,-8.5192852,98.523079
45820000000,-8.225029,-26.795088
45880000000,-8.0983295,-154.32321
45940000000,-7.9143467,78.666306
46000000000,-7.8072987,-50.888432
46060000000,-8.1330776,-179.3288
46120000000,-8.2051487,54.173084
46180000000,-8.2570925,-72.105949
46240000000,-8.1530485,160.32297
46300000000,-8.3143616,34.019917
46360000000,-7.9570208,-94.071777
46420000000,-8.1487494,137.3278
46480000000,-8.3717842,10.971613
46540000000,-8.2528343,-114.21785
46600000000,-8.184762,116.96915
46660000000,-8.0878687,-8.124177
46720000000,-7.9632955,-137.01254
46780000000,-7.888308,95.143616
46840000000,-7.9259672,-33.130592
46900000000,-8.0509424,-160.51137
46960000000,-8.1748819,71.628357
47020000000,-8.0577726,-53.832886
47080000000,-7.964951,176.85617
47140000000,-8.1600952,49.869251
47200000000,-8.2473478,-79.33075
47260000000,-8.7709398,156.35587
47320000000,-8.5459785,31.434338
47380000000,-7.9346328,-94.776794
47440000000,-7.8524041,134.77316
47500000000,-7.9710069,6.8620749
47560000000,-7.99441,-120.24134
47620000000,-7.9678869,111.39702
47680000000,-8.3048105,-16.867599
47740000000,-8.3778276,-143.16794
47800000000,-8.5571432,91.381668
47860000000,-8.1602421,-35.687252
47920000000,-8.2877188,-163.73462
47980000000,-8.0579252,68.949448
48040000000,-8.3721018,-60.230118
48100000000,-8.3918867,175.28593
48160000000,-8.1590519,47.067245
48220000000,-8.0575523,-80.836891
48280000000,-8.1458588,150.92203
48340000000,-8.393918,25.24999
48400000000,-8.0610743,-103.24272
48460000000,-8.4652367,129.56407
48520000000,-8.4651804,4.0064569
48580000000,-8.0513353,-124.25436
48640000000,-8.7274218,107.71205
48700000000,-8.2249908,-16.825254
48760000000,-8.0563488,-145.49918
48820000000,-8.0050392,86.723701
48880000000,-8.1268539,-42.24268
48940000000,-8.2875929,-168.39366
49000000000,-8.2500143,64.924484
49060000000,-8.0624485,-62.714027
49120000000,-8.1273394,168.34415
49180000000,-8.1963015,40.546803
49240000000,-8.6275043,-87.027557
49300000000,-8.4963331,149.36745
49360000000,-8.2443123,21.29006
49420000000,-8.1597548,-107.43196
49480000000,-8.6127644,125.29694
49540000000,-8.3699503,0.24632911
49600000000,-8.1024628,-128.96451
49660000000,-8.2393827,101.76464
49720000000,-8.4096546,-23.998684
49780000000,-8.2538986,-152.13539
49840000000,-8.4061403,81.586853
49900000000,-8.3353682,-46.312492
49960000000,-8.5276165,-173.30736
50020000000,-8.4073744,59.126564
50080000000,-8.9977093,-66.4888
50140000000,-8.2807016,166.8008
50200000000,-8.4370441,38.144726
50260000000,-8.5065584,-90.270248
50320000000,-8.5385942,143.5334
50380000000,-8.4514198,15.459891
50440000000,-8.6592188,-111.93398
50500000000,-8.7575922,120.38672
50560000000,-8.5568609,-5.6186833
50620000000,-8.7429056,-136.20773
50680000000,-9.4589348,99.483978
50740000000,-9.1042585,-23.867659
50800000000,-8.923666,-149.95619
50860000000,-8.2644033,81.466255
50920000000,-8.3065386,-46.274132
50980000000,-8.1108179,-176.12752
51040000000,-8.2948561,55.218533
51100000000,-8.6274748,-73.584648
51160000000,-8.8717813,161.85802
51220000000,-8.7098255,34.590694
51280000000,-8.7576723,-90.315079
51340000000,-8.2334719,140.97285
51400000000,-8.3892565,12.240736
51460000000,-8.5759077,-116.06374
51520000000,-8.7132702,118.45016
51580000000,-8.4539175,-8.4797945
51640000000,-8.5351667,-136.37404
51700000000,-8.5844889,95.901939
51760000000,-8.4247704,-30.295191
51820000000,-8.3387375,-160.04674
51880000000,-8.7236271,72.073982
51940000000,-8.5743713,-53.977127
52000000000,-8.9025879,179.5938
52060000000,-8.4810915,51.838787
52120000000,-8.605278,-74.513474
52180000000,-8.4509335,156.5777
52240000000,-8.637722,28.420691
52300000000,-8.8998632,-98.007278
52360000000,-8.6933012,136.52963
52420000000,-8.5983953,6.8772182
52480000000,-8.6788769,-119.44051
52540000000,-8.6915207,111.91447
52600000000,-8.8288136,-14.648229
52660000000,-8.855814,-142.756
52720000000,-9.2562151,92.671242
52780000000,-8.7488594,-33.240479
52840000000,-8.6804428,-160.88054
52900000000,-8.3671646,71.391449
52960000000,-8.4214554,-57.577957
53020000000,-8.4102077,174.75284
53080000000,-8.4868193,46.824379
53140000000,-8.6264677,-80.752357
53200000000,-8.6309032,153.5367
53260000000,-8.4111853,25.050203
53320000000,-8.5255766,-102.17438
53380000000,-8.5028114,130.13211
53440000000,-8.4559584,2.5160706
53500000000,-8.7416821,-126.07225
53560000000,-8.8620234,109.20414
53620000000,-8.6447926,-18.266706
53680000000,-8.6606703,-145.35555
53740000000,-8.4686556,87.000977
53800000000,-8.3839722,-41.421165
53860000000,-8.4563398,-170.32222
53920000000,-8.5874319,62.572388
53980000000,-8.6192245,-66.260406
54040000000,-9.0116892,167.3732
54100000000,-8.8871307,41.148003
54160000000,-9.0081234,-86.300148
54220000000,-8.7522917,148.05945
54280000000,-8.6959009,18.527048
54340000000,-8.7414408,-108.77219
54400000000,-8.6965837,123.16282
54460000000,-8.8521023,-5.6841536
54520000000,-9.0527506,-132.32425
54580000000,-8.9959307,100.69974
54640000000,-8.9821062,-27.999569
54700000000,-9.4997072,-156.86371
54760000000,-9.5498486,80.68206
54820000000,-9.5752506,-48.423859
54880000000,-9.3749342,-171.45473
54940000000,-9.0558167,59.390839
55000000000,-9.1076231,-68.866455
55060000000,-8.9095201,163.64584
55120000000,-8.9661427,34.963238
55180000000,-8.9865599,-93.811905
55240000000,-9.4191122,137.56111
55300000000,-9.3006897,12.494203
55360000000,-9.5261183,-116.63708
55420000000,-9.6743584,117.41965
55480000000,-9.8027477,-10.108411
55540000000,-10.590089,-134.74817
55600000000,-9.6178131,104.091
55660000000,-9.2377548,-25.312761
55720000000,-8.9162483,-152.8324
55780000000,-8.5845604,77.29203
55840000000,-8.7108078,-52.423092
55900000000,-8.9966488,178.8503
55960000000,-9.2181797,52.679207
56020000000,-9.1242304,-72.507561
56080000000,-8.7800493,159.60414
56140000000,-8.5060244,30.907558
56200000000,-8.6848679,-99.64045
56260000000,-8.8551197,131.36427
56320000000,-9.5364676,3.9715195
56380000000,-9.8456717,-118.95721
56440000000,-9.6337252,116.70459
56500000000,-9.253006,-10.525183
56560000000,-8.840415,-138.63551
56620000000,-8.6235294,91.50782
56680000000,-8.9597807,-39.547146
56740000000,-10.072341,-166.09393
56800000000,-9.458333,73.218163
56860000000,-9.5818901,-56.94051
56920000000,-9.2522516,179.65955
56980000000,-9.2363367,49.661148
57040000000,-8.5640812,-74.246078
57100000000,-8.7444983,151.60352
57160000000,-8.9504757,26.6455
57220000000,-9.2695198,-100.40926
57280000000,-9.1984282,135.49564
57340000000,-8.5980139,9.3754168
57400000000,-8.2055407,-121.97229
57460000000,-8.6121588,108.61867
57520000000,-8.7878513,-20.53207
57580000000,-9.3862,-144.35286
57640000000,-8.9172974,88.312897
57700000000,-9.6771107,-39.326988
57760000000,-9.1211624,-161.00963
57820000000,-8.7302961,71.300369
57880000000,-8.0094357,-58.246803
57940000000,-8.2793264,169.71356
58000000000,-8.8151283,40.355438
58060000000,-9.0528822,-84.723701
58120000000,-9.3674173,147.81145
58180000000,-9.2124348,23.249731
58240000000,-9.1156826,-106.77431
58300000000,-9.6281824,128.50356
58360000000,-9.3140345,2.9503198
58420000000,-9.2641802,-124.61728
58480000000,-9.1438246,109.26487
58540000000,-8.9442005,-19.232513
58600000000,-8.8827839,-147.09727
58660000000,-8.7167988,83.623695
58720000000,-9.0479927,-45.839561
58780000000,-9.0894575,-172.28735
58840000000,-9.2060242,60.599476
58900000000,-9.3970995,-68.92791
58960000000,-9.4663363,165.68842
59020000000,-9.8457479,38.073105
59080000000,-9.3996735,-89.093216
59140000000,-10.378011,141.3763
59200000000,-10.072094,22.81057
59260000000,-9.5916882,-106.19942
59320000000,-9.1254883,127.72684
59380000000,-8.8440161,-4.5617337
59440000000,-9.2322054,-134.11131
59500000000,-9.508811,99.779831
59560000000,-9.3602066,-27.241121
59620000000,-9.1691666,-155.41318
59680000000,-9.4411259,74.608841
59740000000,-9.960824,-51.793861
