!CSV A.01.01
!Keysight Technologies,N5247B,MY58422921,A.14.80.08
!Date: Wednesday, April 12, 2023 00:56:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
40000000000,-18.035318,155.55672,0.81116194,-4.4979982,0.82442909,-4.5878577,-17.818348,115.91489
40060000000,-18.312449,151.00999,0.79569769,-4.5465283,0.79212326,-4.5153337,-17.938066,119.43156
40120000000,-18.318571,147.02094,0.7570762,-4.4518037,0.76093161,-4.530077,-18.101759,120.79816
40180000000,-18.596718,142.05695,0.74533683,-4.4728794,0.73530072,-4.3950291,-18.234015,124.91158
40240000000,-18.831524,136.68776,0.70254356,-4.4707351,0.7187317,-4.4810133,-18.382839,127.14575
40300000000,-19.131863,133.02663,0.69643629,-4.2948551,0.68677974,-4.4298878,-18.449968,131.19875
40360000000,-19.281532,128.90974,0.6634413,-4.3586445,0.66943538,-4.3205948,-18.752068,134.87218
40420000000,-19.431671,123.46394,0.64321607,-4.3710942,0.65344781,-4.2988605,-18.875853,139.05815
40480000000,-19.748096,117.99369,0.62278497,-4.3392744,0.62305588,-4.1940188,-19.129267,142.56248
40540000000,-19.892065,111.09435,0.58864754,-4.208446,0.61554825,-4.2762656,-18.997547,143.6366
40600000000,-19.871252,107.36433,0.56484652,-4.3287454,0.58726031,-4.060451,-19.327494,147.09599
40660000000,-20.024273,101.71906,0.55726618,-4.2630816,0.5569433,-4.1095581,-19.646105,149.35091
40720000000,-20.171076,97.088165,0.54054594,-4.1167555,0.53814536,-4.1429839,-19.608625,153.39171
40780000000,-20.0665,92.352875,0.5361681,-4.1022673,0.52595687,-4.0982404,-19.656479,156.59164
40840000000,-20.316626,89.199547,0.50880229,-4.007072,0.50297374,-4.0516548,-20.084124,158.38344
40900000000,-20.420877,83.655113,0.50148827,-3.9538925,0.47959578,-3.9659531,-20.071735,164.38205
40960000000,-20.353685,80.849686,0.47386435,-3.9243309,0.4899396,-3.9273081,-20.329199,167.59169
41020000000,-20.743729,74.541039,0.45871794,-3.8184185,0.46426144,-3.8215072,-20.367107,170.92773
41080000000,-20.315454,70.033264,0.44293696,-3.6994328,0.44001165,-3.9178679,-20.536684,172.84386
41140000000,-20.460629,65.476555,0.42076159,-3.8201594,0.42353976,-3.7878463,-20.61265,174.91888
41200000000,-20.547361,61.318447,0.42565578,-3.6706808,0.41298836,-3.7248433,-20.98317,178.90103
41260000000,-20.042751,58.383114,0.40152967,-3.6444981,0.39373374,-3.6674299,-21.107018,178.39252
41320000000,-20.206215,54.354843,0.37682968,-3.5787518,0.38761076,-3.6345537,-21.166777,-177.53984
41380000000,-20.144135,51.842064,0.37989557,-3.5671535,0.38538894,-3.5719392,-21.052702,-175.4541
41440000000,-20.154726,49.997261,0.37199843,-3.4989026,0.34960881,-3.4022624,-21.725412,-171.25119
41500000000,-20.500511,47.404961,0.35277894,-3.3351352,0.34886739,-3.4455686,-22.046785,-170.01268
41560000000,-20.566586,44.440693,0.35299563,-3.3232567,0.34768957,-3.4976065,-21.841295,-165.52754
41620000000,-20.28898,43.73782,0.3436017,-3.2651317,0.34698319,-3.3797581,-22.341959,-165.25729
41680000000,-20.782732,40.036018,0.3376289,-3.2925293,0.3303526,-3.3058908,-22.692232,-161.55905
41740000000,-21.112133,36.365189,0.33475447,-3.1213441,0.31047374,-3.1685705,-22.589743,-158.59283
41800000000,-21.129824,34.06102,0.31340042,-3.1916404,0.314942,-3.0642481,-22.65633,-158.14493
41860000000,-21.691444,31.333094,0.27939624,-3.0660033,0.32236236,-3.1023557,-22.875601,-152.59335
41920000000,-21.46501,28.430122,0.30325654,-2.9867702,0.29471463,-2.9512293,-23.389093,-151.38535
41980000000,-22.073839,23.353703,0.28821781,-2.9366946,0.31419656,-2.8651247,-23.592989,-147.4532
42040000000,-21.943678,20.512831,0.29113775,-2.7624915,0.29386073,-2.7452683,-23.80237,-144.95396
42100000000,-22.536186,18.267965,0.292604,-2.8428247,0.26592129,-2.7764633,-23.606606,-141.68913
42160000000,-22.326834,15.107158,0.26076171,-2.6459708,0.27275199,-2.6513793,-23.40877,-141.64023
42220000000,-23.159546,13.100383,0.26093477,-2.7195039,0.27611619,-2.8060985,-23.300058,-139.24507
42280000000,-23.66399,9.428091,0.25259587,-2.5468171,0.25652674,-2.6277866,-23.31354,-137.4592
42340000000,-23.945667,7.0931478,0.26018342,-2.5309334,0.24524556,-2.5946426,-23.629398,-134.45596
42400000000,-24.874626,-2.6687646,0.24767031,-2.6529317,0.23721567,-2.5107923,-22.995674,-129.8333
42460000000,-25.325418,-7.1920519,0.23621407,-2.5519626,0.24215309,-2.4868553,-23.080126,-125.35014
42520000000,-25.702595,-12.260958,0.23819891,-2.440295,0.23716469,-2.5036938,-23.360014,-123.73829
42580000000,-26.143888,-18.045624,0.22098035,-2.309814,0.22986725,-2.4960837,-23.244282,-119.48053
42640000000,-26.561644,-26.074696,0.21690685,-2.4446385,0.22144333,-2.3336384,-22.898743,-116.00317
42700000000,-26.110945,-32.412769,0.21699008,-2.2741268,0.22262442,-2.3137765,-23.170069,-115.96537
42760000000,-26.436045,-37.83419,0.19998521,-2.2891924,0.21385673,-2.2113528,-22.920156,-113.99693
42820000000,-26.439455,-43.40517,0.2013412,-2.1990008,0.20722045,-2.397891,-22.70039,-109.42921
42880000000,-26.452908,-52.480186,0.20738383,-2.1659317,0.19433427,-2.2234211,-22.938688,-101.03112
42940000000,-26.75843,-57.365044,0.18881923,-2.1906071,0.19680691,-2.2372274,-23.20466,-98.168465
43000000000,-26.149916,-60.157623,0.17564607,-2.2780488,0.18713008,-2.2535586,-23.285929,-95.325882
43060000000,-26.252762,-72.092209,0.16442922,-2.0832095,0.19325688,-2.0592251,-22.88835,-91.671371
43120000000,-25.376072,-76.321686,0.18445048,-2.0226426,0.1673349,-2.0100877,-22.92856,-90.765991
43180000000,-25.457006,-77.746361,0.17483059,-2.0460546,0.18966034,-2.0967045,-23.313454,-85.717171
43240000000,-24.710831,-84.501137,0.17245686,-1.8978074,0.17747636,-1.9833188,-22.987722,-84.973412
43300000000,-24.418882,-84.26107,0.1615525,-1.7783732,0.15908566,-1.8771101,-22.926065,-83.470909
43360000000,-24.358768,-86.093246,0.15739639,-1.8084328,0.15751721,-1.8099436,-23.210449,-79.969437
43420000000,-24.335821,-88.082535,0.15896189,-1.7875309,0.14703672,-1.6764966,-23.104679,-78.270241
43480000000,-23.96295,-88.770752,0.17373988,-1.6834419,0.14846335,-1.8072098,-23.47356,-74.857468
43540000000,-24.625334,-90.122124,0.16077578,-1.8158419,0.14996956,-1.7523685,-23.796196,-67.881416
43600000000,-24.753071,-94.128662,0.13501196,-1.6857982,0.15567599,-1.7374325,-23.804556,-64.053596
43660000000,-24.464033,-98.356812,0.14632496,-1.5436867,0.14296587,-1.6134927,-23.876265,-65.728882
43720000000,-24.700584,-100.59823,0.14259464,-1.4988585,0.14326693,-1.5392067,-23.933342,-61.525505
43780000000,-24.390404,-101.29178,0.14331852,-1.5079477,0.14441137,-1.4950724,-24.134943,-59.186218
43840000000,-24.789837,-104.19241,0.13116892,-1.3869643,0.13441668,-1.3812977,-23.656845,-58.675636
43900000000,-24.749622,-105.02053,0.15387994,-1.4457982,0.11940079,-1.4672419,-23.299801,-52.775517
43960000000,-25.009007,-105.3492,0.13109809,-1.3253866,0.14432724,-1.3968942,-23.880072,-49.945808
44020000000,-25.730751,-105.82639,0.14428318,-1.2747793,0.13505612,-1.3221104,-24.12499,-45.285679
44080000000,-26.057177,-107.77241,0.14714882,-1.2618147,0.14010447,-1.273198,-24.516151,-39.892235
44140000000,-27.076563,-106.78321,0.13965781,-1.2082068,0.13270374,-1.2481022,-24.853725,-32.987614
44200000000,-27.919193,-114.46282,0.13158783,-1.2852005,0.14513746,-1.1585042,-24.935291,-30.068928
44260000000,-28.697338,-116.89316,0.14258312,-1.2540858,0.14567268,-1.069616,-24.81871,-24.579277
44320000000,-30.03158,-124.71923,0.135572,-1.0611018,0.14451353,-1.168167,-24.867044,-17.769615
44380000000,-31.320107,-136.15381,0.13003504,-1.0967958,0.1340608,-1.1389173,-24.648544,-10.843291
44440000000,-31.056387,-134.78033,0.14057715,-1.033298,0.1323241,-1.0311469,-24.804142,-8.0817986
44500000000,-32.711697,-149.06824,0.12575862,-0.97249907,0.1346551,-0.96433181,-24.555668,-0.34651873
