!CSV A.01.01
!Keysight Technologies,N5247B,MY58422921,A.14.80.08
!Date: Wednesday, April 12, 2023 05:33:38
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
40000000000,-4.5523195,67.679138,-53.096039,126.29965,-16.026787,102.4266,-12.13463,-109.86206
40060000000,-4.4872108,63.258244,-61.824074,46.735561,-15.810909,73.066414,-8.2742596,172.12494
40120000000,-4.5907288,58.600533,-60.520233,-23.988834,-16.32078,45.914635,-5.119422,127.44357
40180000000,-4.5384755,53.689564,-54.00008,-37.692127,-17.060057,22.239697,-3.7246861,96.867264
40240000000,-4.6285048,49.515438,-56.389969,7.2721052,-17.612928,1.8022289,-3.5562236,72.445999
40300000000,-4.6068573,44.415115,-69.533234,79.650063,-17.871407,-17.308102,-3.9025881,49.982517
40360000000,-4.5867324,40.324184,-48.547028,-90.942924,-17.632608,-36.031235,-4.8210025,26.884626
40420000000,-4.6932759,35.794319,-55.799332,-25.851664,-16.945602,-56.532696,-6.4512925,-2.2514315
40480000000,-4.6395454,31.158018,-47.941525,-112.37641,-16.071707,-80.490929,-8.7406635,-44.950542
40540000000,-4.7348628,26.904606,-48.596706,-160.93109,-15.406405,-107.66031,-10.322011,-112.50117
40600000000,-4.7630243,21.801332,-50.713867,162.25264,-15.317587,-137.13881,-7.8976707,-178.82127
40660000000,-4.7569408,17.295511,-50.105938,110.56419,-15.858691,-164.7346,-5.7984085,136.75546
40720000000,-4.8393822,12.484164,-51.883976,102.52789,-16.462265,170.93422,-4.6728683,104.39537
40780000000,-4.8275542,7.69981,-56.851288,48.716251,-16.944433,149.09222,-4.3624187,78.46759
40840000000,-4.835712,3.3780131,-51.768112,13.519396,-17.115047,128.63522,-4.4598579,54.215771
40900000000,-4.894938,-1.6845976,-57.712643,27.00403,-16.931318,108.63214,-4.9461522,29.402363
40960000000,-4.9070263,-6.0129166,-50.760441,44.098087,-16.296986,85.691803,-5.9409766,-0.75582898
41020000000,-4.9717956,-10.401055,-51.438133,-9.6966877,-15.89883,61.396675,-7.3024683,-40.414474
41080000000,-4.9252338,-15.35604,-52.528984,9.5537004,-15.416475,33.563187,-8.5564137,-93.559242
41140000000,-4.9991984,-19.910151,-55.386261,-116.7737,-15.546041,5.0917802,-8.0303383,-153.11118
41200000000,-5.0214629,-24.850561,-62.287716,-101.20749,-16.089903,-21.860817,-6.7029052,158.42061
41260000000,-4.9866166,-29.936478,-48.381359,-89.16243,-16.937094,-45.614056,-5.5730181,121.65015
41320000000,-5.1037922,-34.742275,-52.151569,-117.18731,-17.433008,-68.495384,-4.9702001,92.420425
41380000000,-5.09377,-39.755692,-52.136215,173.06754,-17.72649,-88.169907,-4.7393188,65.815926
41440000000,-5.0761909,-44.79155,-65.324234,-39.812286,-17.945036,-106.9684,-4.7411313,39.458801
41500000000,-5.1242399,-49.556908,-58.559864,-135.81561,-17.443487,-128.85847,-5.0821934,10.982595
41560000000,-5.13977,-54.695652,-58.743069,-97.993439,-16.902666,-151.40866,-5.7242246,-23.081913
41620000000,-5.1641712,-59.358852,-52.530746,165.13356,-16.395248,-176.12178,-6.8864913,-64.489349
41680000000,-5.1613059,-64.383347,-46.948299,153.63428,-16.273994,155.58061,-7.7769723,-115.81233
41740000000,-5.2259216,-68.996315,-56.109272,-174.75075,-16.764036,128.2858,-7.868536,-168.91077
41800000000,-5.2521815,-74.897072,-53.885925,138.93805,-17.332052,104.07698,-7.0093975,144.86424
41860000000,-5.2754927,-79.657616,-51.355701,60.071167,-17.534607,80.825279,-6.0841084,108.13097
41920000000,-5.3460913,-84.563919,-48.271763,103.34625,-17.953703,60.008568,-5.3653345,77.616173
41980000000,-5.329793,-90.480553,-47.709244,55.531696,-18.119017,38.722099,-4.9757562,49.593159
42040000000,-5.3855667,-95.008598,-50.411186,-24.682528,-17.750208,17.772696,-4.9173632,21.16614
42100000000,-5.3512964,-100.80018,-51.788818,172.31085,-17.338966,-5.7441616,-5.2831984,-8.9236727
42160000000,-5.325665,-104.6422,-47.51857,-21.065256,-17.033272,-30.07934,-6.1977592,-43.252655
42220000000,-5.4144306,-110.39119,-45.38068,-62.014805,-16.890865,-56.235096,-7.7875681,-86.587379
42280000000,-5.3657331,-115.42339,-50.361813,-98.384842,-17.128456,-82.547546,-9.2029324,-138.58412
42340000000,-5.4503608,-120.05974,-45.508331,-106.11819,-17.262463,-108.12988,-8.9926939,164.78264
42400000000,-5.4726691,-125.56223,-49.025543,-149.40332,-17.747179,-131.79637,-7.6218667,118.67459
42460000000,-5.5266218,-130.39516,-56.043854,-123.85517,-18.232403,-155.3654,-6.2728558,82.023285
42520000000,-5.6118512,-136.40846,-46.787785,164.76407,-18.666346,-177.48416,-5.2875237,52.328518
42580000000,-5.4991889,-141.55771,-49.327091,149.92226,-18.841013,161.32993,-4.9359055,24.734671
42640000000,-5.5836725,-145.9807,-52.492519,152.11694,-18.474134,140.20453,-5.0391412,-3.364186
42700000000,-5.5526352,-151.37871,-48.091805,64.015694,-18.248049,117.26266,-5.8494139,-33.920681
42760000000,-5.5516591,-156.36316,-44.703117,81.9319,-18.098198,92.345978,-7.4954224,-71.295464
42820000000,-5.5386534,-161.44533,-42.762035,30.845282,-17.910652,66.915825,-9.793294,-120.71411
42880000000,-5.5664949,-166.02216,-49.334999,48.261509,-17.924412,40.861603,-10.332515,173.49266
42940000000,-5.682332,-170.87869,-43.633209,-45.780697,-18.501207,14.818918,-8.2792406,119.71647
43000000000,-5.592485,-176.70259,-41.950928,-25.662977,-18.95295,-8.2849903,-6.1485906,81.136696
43060000000,-5.5911698,178.92844,-53.036179,-56.177761,-19.37612,-31.018332,-4.8375649,51.662231
43120000000,-5.6441345,173.25783,-47.7761,-71.486168,-19.612806,-51.586468,-4.3104153,25.314196
43180000000,-5.5941372,167.75681,-47.668739,-103.42894,-19.670538,-73.233871,-4.3446298,-0.73814565
43240000000,-5.5922785,162.98749,-45.989613,-103.47536,-19.757704,-95.541939,-5.1057949,-28.178089
43300000000,-5.5750437,158.36079,-49.020702,-173.76419,-19.380285,-118.67033,-6.6486521,-62.45435
43360000000,-5.6948748,153.2365,-44.7318,-163.69145,-19.105621,-144.62306,-8.8352089,-108.5891
43420000000,-5.558754,148.13727,-45.009705,-163.16339,-19.158413,-171.13826,-9.9100485,-173.91731
43480000000,-5.6913443,143.70393,-46.970863,132.22577,-19.771004,163.27946,-7.6900916,128.63495
43540000000,-5.7682467,138.24084,-52.562805,130.03764,-19.935717,138.64241,-5.4972191,88.287224
43600000000,-5.6414962,134.32402,-47.46059,85.634903,-20.788034,114.74915,-4.0781937,58.679043
43660000000,-5.8005152,128.76399,-44.851894,45.346653,-21.15826,94.390045,-3.541908,33.831165
43720000000,-5.6806397,123.4197,-45.8885,54.294941,-21.362907,73.167046,-3.4865568,10.09481
43780000000,-5.7089872,119.44782,-46.161346,14.115622,-21.358583,51.871826,-4.0475307,-15.005138
43840000000,-5.691277,113.98264,-49.551151,-0.066100456,-21.203104,30.784945,-5.2834868,-44.797222
43900000000,-5.6634159,109.62223,-46.175625,-29.311918,-20.905041,6.130312,-7.2896051,-84.121529
43960000000,-5.7298594,104.74823,-46.041271,-59.572952,-20.651031,-19.272877,-9.248805,-143.97672
44020000000,-5.6872668,100.20103,-46.057041,-94.370033,-21.406435,-46.975212,-7.8556709,151.8842
44080000000,-5.8789463,96.181816,-51.048927,-119.66998,-22.130907,-71.689392,-5.5312634,106.98877
44140000000,-5.7565556,90.303139,-45.514328,-146.51372,-22.815207,-94.846962,-3.9757707,75.047058
44200000000,-5.6288967,86.645538,-49.432476,-156.82242,-23.59861,-114.54085,-3.2546151,49.444157
44260000000,-5.852191,81.955727,-53.950081,-175.35147,-23.764973,-134.84586,-3.0802014,26.318745
44320000000,-5.7159829,76.200531,-47.906235,166.36551,-24.009586,-153.33099,-3.3844359,3.7336307
44380000000,-5.7226563,72.360756,-50.410511,159.23038,-23.619905,-174.19136,-4.3720951,-22.039141
44440000000,-5.7735324,67.028564,-47.977615,120.77264,-23.345207,162.158,-6.2387624,-55.736679
44500000000,-5.6437979,62.753345,-52.809174,167.76944,-22.915031,137.35416,-8.9865866,-106.65137
44560000000,-5.7129707,57.968781,-49.135677,57.829941,-23.197601,109.68126,-9.2766371,-177.58681
44620000000,-5.6978722,52.857288,-48.27338,17.350533,-23.91354,85.028419,-6.7462907,126.8065
44680000000,-5.6632576,48.699886,-49.248028,25.008974,-24.716084,60.675236,-4.6859007,90.759888
44740000000,-5.7571254,44.045467,-50.027786,-14.665513,-25.625845,42.025826,-3.6796105,63.960178
44800000000,-5.6814737,38.703346,-50.885605,-29.047346,-26.185543,23.194324,-3.3413324,41.382397
44860000000,-5.6849437,34.389984,-50.502274,-11.038355,-26.313841,3.303077,-3.5609007,19.701588
44920000000,-5.6744146,29.18577,-53.857708,-114.62609,-25.819418,-15.442764,-4.4467683,-4.7342582
44980000000,-5.6613364,24.097136,-55.316784,-74.24263,-25.214998,-37.202705,-6.2249794,-35.250778
45040000000,-5.7006702,19.320141,-51.259068,-111.2365,-25.114891,-62.00803,-9.5489616,-82.586082
45100000000,-5.6551785,14.375984,-47.429905,-148.36922,-25.10144,-90.564697,-11.251264,-162.39375
45160000000,-5.6825385,9.9403677,-48.64365,-168.82799,-25.584339,-117.36309,-7.9372301,133.1183
45220000000,-5.7735615,4.8594847,-50.656857,155.48175,-26.340742,-141.84013,-5.4090934,95.414162
45280000000,-5.6606236,-0.042621743,-54.04187,155.39236,-27.178492,-161.38716,-4.248014,68.238594
45340000000,-5.7405567,-4.65026,-48.915607,93.716316,-27.967829,178.27484,-3.8012273,45.09169
45400000000,-5.7421651,-9.8046141,-54.243145,111.67134,-28.252535,159.80609,-4.0156307,23.32147
45460000000,-5.7438331,-14.803151,-46.899082,57.288441,-28.091003,138.71651,-4.9464626,-2.0039246
45520000000,-5.6926832,-19.6595,-48.921822,59.663807,-27.494118,115.30089,-6.7819099,-34.768803
45580000000,-5.730813,-24.146011,-57.276478,30.94488,-27.453533,88.069656,-10.207869,-87.386551
45640000000,-5.8183231,-29.846207,-51.233131,-10.173943,-27.457851,61.959576,-10.659319,-170.59943
45700000000,-5.7606139,-34.229561,-50.34906,-75.539726,-28.349852,33.249313,-7.2220235,129.45088
45760000000,-5.8638487,-39.315655,-56.598381,-28.829939,-29.750753,11.110426,-4.895,93.701248
45820000000,-5.8262844,-44.276283,-51.754509,-139.32004,-30.941109,-10.261177,-3.9283752,67.382584
45880000000,-5.8351598,-49.211082,-51.235256,-42.786697,-31.492039,-32.36198,-3.5885034,43.922546
45940000000,-5.8768864,-54.39621,-51.681522,-117.28317,-31.860228,-49.031143,-3.7499533,21.561373
46000000000,-5.8305693,-58.875214,-49.493801,174.6548,-32.968044,-68.713425,-4.5825334,-4.7914314
46060000000,-5.9962277,-64.277832,-49.136559,-169.42807,-32.035618,-94.729912,-6.0260782,-40.21323
46120000000,-5.9137683,-69.591087,-49.61618,120.59624,-32.254486,-120.38166,-8.2474594,-91.753922
46180000000,-5.9615641,-74.164787,-50.755051,156.33215,-33.385372,-147.19296,-8.3325806,-162.29126
46240000000,-6.0131655,-80.205658,-59.142006,-108.92569,-34.975243,-169.43588,-6.1020083,141.66214
46300000000,-5.9222484,-84.667984,-49.98391,116.59498,-36.363441,168.25319,-4.3196702,103.25446
46360000000,-6.0618067,-89.352379,-58.826389,28.395521,-37.268311,140.01358,-3.4017422,75.705063
46420000000,-5.9737372,-94.546097,-58.921848,163.69872,-41.244984,130.34106,-3.1082666,51.687588
46480000000,-6.0690045,-99.239738,-47.28614,1.7807932,-42.702888,120.45591,-3.1474876,28.940317
46540000000,-6.1059299,-104.84908,-57.512638,-7.2659597,-42.294403,108.08031,-3.6564605,4.3541946
46600000000,-6.0480113,-109.79501,-51.873421,38.069153,-45.423847,103.27518,-4.5653119,-27.054525
46660000000,-6.1656222,-114.68613,-55.457623,23.551777,-47.210655,89.776093,-6.0160747,-68.276299
46720000000,-6.1583223,-119.9561,-52.202351,-94.385834,-52.340832,76.928307,-7.2167439,-126.47922
46780000000,-6.2713432,-125.06219,-49.510223,-173.45042,-46.797375,100.51557,-6.2147083,173.38965
46840000000,-6.2503386,-130.8877,-58.201889,-95.026642,-46.37484,102.35596,-4.6935973,128.05113
46900000000,-6.2671394,-135.43483,-50.713966,125.46974,-44.862034,74.46067,-3.6019886,94.594688
46960000000,-6.3818688,-140.84238,-65.718346,142.94476,-41.302544,59.322529,-3.0577812,68.132294
47020000000,-6.3392878,-145.92618,-53.130703,170.28734,-39.877323,49.009922,-2.9254441,44.115932
47080000000,-6.4356365,-150.68709,-53.240971,127.79163,-38.116737,35.677898,-3.1194198,20.110199
